rank,callable,nativr_available,packages,source_packages,occurrences,package_reach_percent,download_weighted_reach_percent
208,registerS3method,false,2,pillar|knitr,2,2.1,2.4
209,file.info,false,3,digest|data.table|shiny,3,3.1,2.4
210,match,true,2,ggplot2|data.table,3,2.1,2.4
211,convolve,true,2,Rcpp|zoo,3,2.1,2.3
212,getRversion,false,2,S7|xfun,2,2.1,2.3
213,aggregate,true,2,ggplot2|zoo,26,2.1,2.3
214,hcl,false,2,ggplot2|zoo,6,2.1,2.3
215,axis,false,3,labeling|zoo|bit64,18,3.1,2.3
216,log2,true,2,ggplot2|bit64,5,2.1,2.3
217,intToUtf8,true,2,utf8|xfun,6,2.1,2.3
218,rep_len,true,2,sass|purrr,2,2.1,2.2
219,identity,true,1,rlang,8,1.0,2.2
220,call,true,1,rlang,5,1.0,2.2
221,source,false,1,rlang,2,1.0,2.2
222,textConnection,false,1,rlang,2,1.0,2.2
223,as.formula,true,1,rlang,1,1.0,2.2
224,body,true,1,rlang,1,1.0,2.2
225,evalq,true,1,rlang,1,1.0,2.2
226,globalCallingHandlers,true,1,rlang,1,1.0,2.2
227,search,true,1,rlang,1,1.0,2.2
228,sys.call,true,1,rlang,1,1.0,2.2
229,force,true,2,magrittr|promises,4,2.1,2.2
230,readline,false,2,curl|crayon,2,2.1,2.1
231,difftime,true,2,fs|promises,2,2.1,2.1
232,url,false,2,jsonlite|openssl,6,2.1,2.1
233,is.character,true,2,dplyr|data.table,4,2.1,2.1
234,unserialize,true,2,jsonlite|data.table,2,2.1,2.0
235,cut,true,2,dplyr|zoo,5,2.1,2.0
236,as.factor,true,2,bslib|data.table,5,2.1,1.9
237,Sys.setlocale,true,2,utf8|data.table,6,2.1,1.9
238,Sys.getlocale,true,2,utf8|data.table,2,2.1,1.9
239,filter,false,2,jsonlite|zoo,2,2.1,1.9
240,plot.new,true,2,sass|systemfonts,2,2.1,1.9
241,deparse,true,1,cli,3,1.0,1.9
242,regmatches,true,1,cli,2,1.0,1.9
243,trimws,true,1,cli,2,1.0,1.9
244,gregexpr,true,1,cli,1,1.0,1.9
245,packageDescription,false,1,cli,1,1.0,1.9
246,stdout,false,1,cli,1,1.0,1.9
247,logical,true,1,vctrs,4,1.0,1.9
248,rle,true,1,vctrs,1,1.0,1.9
249,which.min,true,3,data.table|zoo|bit64,4,3.1,1.9
250,proc.time,true,2,ps|data.table,2,2.1,1.8
251,vapply,true,2,ps|distributional,2,2.1,1.8
252,rainbow,false,2,farver|zoo,5,2.1,1.8
253,rect,false,2,sass|zoo,3,2.1,1.8
254,vector,true,2,purrr|data.table,8,2.1,1.8
255,complex,true,2,StanHeaders|zoo,2,2.1,1.8
256,file.remove,false,2,xfun|data.table,4,2.1,1.8
257,as.hexmode,true,2,digest|data.table,3,2.1,1.7
258,Filter,true,2,xfun|rstudioapi,2,2.1,1.7
259,readChar,false,2,digest|shiny,2,2.1,1.7
260,reorder,true,1,ggplot2,4,1.0,1.7
261,chull,true,1,ggplot2,3,1.0,1.7
262,terrain.colors,false,1,ggplot2,3,1.0,1.7
263,confint,true,1,ggplot2,2,1.0,1.7
264,jitter,true,1,ggplot2,2,1.0,1.7
265,match.arg,true,1,ggplot2,2,1.0,1.7
266,qlogis,true,1,ggplot2,2,1.0,1.7
267,scale,true,1,ggplot2,2,1.0,1.7
268,aov,true,1,ggplot2,1,1.0,1.7
269,fitted,true,1,ggplot2,1,1.0,1.7
270,IQR,true,1,ggplot2,1,1.0,1.7
271,kmeans,true,1,ggplot2,1,1.0,1.7
272,predict,true,1,ggplot2,1,1.0,1.7
273,resid,true,1,ggplot2,1,1.0,1.7
